pk,cod_comuna,comuna,fecha,violencia_o_intimidacion,sorpresa,fuerza,vehiculo,acce_vehiculo,lugar_habitado,lugar_no_habitado,otros_robos_fuerza,hurtos,lesiones,lesiones_leves,lesiones_graves,homicidios,violacion
143,5602,Algarrobo,1/11/16,0,0,2,0,0,2,0,0,7,1,1,0,0,0
144,5602,Algarrobo,1/12/16,0,0,2,0,0,2,0,0,9,1,1,0,0,0
145,5602,Algarrobo,1/1/17,0,0,0,0,0,0,0,0,13,0,0,0,0,0
146,5602,Algarrobo,1/2/17,0,0,3,0,1,2,0,0,12,1,1,0,0,0
147,5602,Algarrobo,1/3/17,0,0,3,0,0,3,0,0,8,1,1,0,0,0
148,5602,Algarrobo,1/4/17,0,0,1,0,0,0,1,0,4,1,1,0,0,0
149,5602,Algarrobo,1/5/17,1,0,7,0,0,7,0,0,2,2,2,0,0,0
150,5602,Algarrobo,1/6/17,0,0,2,0,0,0,2,0,4,2,2,0,0,0
151,13502,Alhué,1/1/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,13502,Alhué,1/2/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,13502,Alhué,1/3/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,13502,Alhué,1/4/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,13502,Alhué,1/5/05,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,13502,Alhué,1/6/05,0,0,0,0,0,0,0,0,0,1,0,1,1,0
157,13502,Alhué,1/7/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,13502,Alhué,1/8/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,13502,Alhué,1/9/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,13502,Alhué,1/10/05,0,0,0,0,0,0,0,0,1,0,0,0,0,0
161,13502,Alhué,1/11/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,13502,Alhué,1/12/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,13502,Alhué,1/1/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,13502,Alhué,1/2/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,13502,Alhué,1/3/06,0,0,0,0,0,0,0,0,0,1,1,0,0,0
166,13502,Alhué,1/4/06,0,0,0,0,0,0,0,0,2,0,0,0,0,0
167,13502,Alhué,1/5/06,0,0,2,0,0,2,0,0,0,0,0,0,0,0
168,13502,Alhué,1/6/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,13502,Alhué,1/7/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,13502,Alhué,1/8/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,13502,Alhué,1/9/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,13502,Alhué,1/10/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,13502,Alhué,1/11/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,13502,Alhué,1/12/06,0,0,0,0,0,0,0,0,0,2,1,1,0,0
175,13502,Alhué,1/1/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,13502,Alhué,1/2/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,13502,Alhué,1/3/07,0,0,1,0,0,1,0,0,0,0,0,0,0,0
178,13502,Alhué,1/4/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,13502,Alhué,1/5/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,13502,Alhué,1/6/07,0,0,1,0,0,0,1,0,0,0,0,0,0,0
181,13502,Alhué,1/7/07,0,0,0,0,0,0,0,0,0,1,1,0,0,0
182,13502,Alhué,1/8/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,13502,Alhué,1/9/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,13502,Alhué,1/10/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,13502,Alhué,1/11/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,13502,Alhué,1/12/07,0,0,1,0,0,0,1,0,0,0,0,0,0,0
187,13502,Alhué,1/1/08,0,0,0,0,0,0,0,0,0,1,1,0,0,0
188,13502,Alhué,1/2/08,0,0,0,0,0,0,0,0,1,1,0,1,0,0
189,13502,Alhué,1/3/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,13502,Alhué,1/4/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,13502,Alhué,1/5/08,0,0,0,0,0,0,0,0,0,1,1,0,0,0
192,13502,Alhué,1/6/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,13502,Alhué,1/7/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,13502,Alhué,1/8/08,0,0,0,0,0,0,0,0,1,0,0,0,0,0
195,13502,Alhué,1/9/08,0,0,0,0,0,0,0,0,0,1,1,0,0,0
196,13502,Alhué,1/10/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,13502,Alhué,1/11/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,13502,Alhué,1/12/08,0,0,0,0,0,0,0,0,0,1,1,0,0,0
199,13502,Alhué,1/1/09,0,0,0,0,0,0,0,0,0,3,2,1,0,0
200,13502,Alhué,1/2/09,0,0,0,0,0,0,0,0,1,0,0,0,0,0
201,13502,Alhué,1/3/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,13502,Alhué,1/4/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,13502,Alhué,1/5/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,13502,Alhué,1/6/09,0,0,0,0,0,0,0,0,0,1,0,1,0,0
205,13502,Alhué,1/7/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,13502,Alhué,1/8/09,0,0,0,0,0,0,0,0,0,2,1,1,0,0
207,13502,Alhué,1/9/09,0,0,0,0,0,0,0,0,0,1,1,0,0,0
208,13502,Alhué,1/10/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,13502,Alhué,1/11/09,0,0,1,0,0,1,0,0,0,0,0,0,0,0
210,13502,Alhué,1/12/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,13502,Alhué,1/1/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,13502,Alhué,1/2/10,0,0,0,0,0,0,0,0,0,1,0,1,0,1
213,13502,Alhué,1/3/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,13502,Alhué,1/4/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,13502,Alhué,1/5/10,0,0,0,0,0,0,0,0,1,2,1,1,0,0
216,13502,Alhué,1/6/10,0,0,0,0,0,0,0,0,1,2,0,2,0,0
217,13502,Alhué,1/7/10,0,0,0,0,0,0,0,0,0,1,1,0,0,0
218,13502,Alhué,1/8/10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
219,13502,Alhué,1/9/10,0,0,0,0,0,0,0,0,0,2,1,1,0,0
220,13502,Alhué,1/10/10,0,0,0,0,0,0,0,0,0,1,1,0,0,0
221,13502,Alhué,1/11/10,0,0,0,0,0,0,0,0,0,2,0,2,0,0
222,13502,Alhué,1/12/10,0,0,0,0,0,0,0,0,0,1,1,0,0,0
223,13502,Alhué,1/1/11,0,0,0,0,0,0,0,0,0,1,0,1,0,0
224,13502,Alhué,1/2/11,0,0,1,0,0,0,1,0,0,1,0,1,0,0
225,13502,Alhué,1/3/11,0,0,0,0,0,0,0,0,0,4,4,0,0,0
226,13502,Alhué,1/4/11,0,0,0,0,0,0,0,0,0,2,2,0,0,0
227,13502,Alhué,1/5/11,0,0,0,0,0,0,0,0,1,0,0,0,0,0
228,13502,Alhué,1/6/11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
229,13502,Alhué,1/7/11,0,0,0,0,0,0,0,0,1,2,2,0,0,0
230,13502,Alhué,1/8/11,0,0,0,0,0,0,0,0,0,1,1,0,0,0
231,13502,Alhué,1/9/11,0,0,0,0,0,0,0,0,1,1,1,0,0,0
232,13502,Alhué,1/10/11,0,0,1,0,0,0,1,0,0,4,3,1,0,0
233,13502,Alhué,1/11/11,0,0,1,0,0,1,0,0,0,2,2,0,0,0
234,13502,Alhué,1/12/11,0,0,0,0,0,0,0,0,0,3,3,0,0,0
235,13502,Alhué,1/1/12,0,0,0,0,0,0,0,0,0,3,2,1,0,0
236,13502,Alhué,1/2/12,0,0,0,0,0,0,0,0,0,2,2,0,0,0
237,13502,Alhué,1/3/12,0,0,1,0,0,0,1,0,0,2,1,1,0,0
238,13502,Alhué,1/4/12,0,0,0,0,0,0,0,0,0,2,1,1,0,0
239,13502,Alhué,1/5/12,0,0,0,0,0,0,0,0,0,2,2,0,0,0
240,13502,Alhué,1/6/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,13502,Alhué,1/7/12,0,0,0,0,0,0,0,0,0,3,3,0,0,0
242,13502,Alhué,1/8/12,0,0,0,0,0,0,0,0,0,1,1,0,0,0
243,13502,Alhué,1/9/12,0,1,0,0,0,0,0,0,0,3,2,1,0,0
244,13502,Alhué,1/10/12,0,1,0,0,0,0,0,0,0,1,1,0,0,0
245,13502,Alhué,1/11/12,0,0,0,0,0,0,0,0,0,1,1,0,0,0
246,13502,Alhué,1/12/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,13502,Alhué,1/1/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,13502,Alhué,1/2/13,0,0,0,0,0,0,0,0,0,2,2,0,0,2
249,13502,Alhué,1/3/13,0,0,0,0,0,0,0,0,0,2,1,1,0,0
250,13502,Alhué,1/4/13,0,0,2,1,0,0,1,0,0,2,2,0,0,0
251,13502,Alhué,1/5/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,13502,Alhué,1/6/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,13502,Alhué,1/7/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,13502,Alhué,1/8/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,13502,Alhué,1/9/13,0,0,0,0,0,0,0,0,0,2,2,0,0,0
256,13502,Alhué,1/10/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,13502,Alhué,1/11/13,0,1,0,0,0,0,0,0,1,1,1,0,0,0
258,13502,Alhué,1/12/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,13502,Alhué,1/1/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,13502,Alhué,1/2/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,13502,Alhué,1/3/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,13502,Alhué,1/4/14,0,0,1,0,0,0,1,0,2,1,1,0,0,0
263,13502,Alhué,1/5/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,13502,Alhué,1/6/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,13502,Alhué,1/7/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,13502,Alhué,1/8/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,13502,Alhué,1/9/14,0,0,0,0,0,0,0,0,1,0,0,0,0,0
268,13502,Alhué,1/10/14,0,0,0,0,0,0,0,0,0,2,1,1,0,0
269,13502,Alhué,1/11/14,0,0,0,0,0,0,0,0,0,1,1,0,0,0
270,13502,Alhué,1/12/14,0,0,1,0,0,1,0,0,0,2,1,1,0,0
271,13502,Alhué,1/1/15,0,0,0,0,0,0,0,0,1,1,0,1,0,0
272,13502,Alhué,1/2/15,0,0,0,0,0,0,0,0,1,0,0,0,0,0
273,13502,Alhué,1/3/15,0,0,0,0,0,0,0,0,0,2,1,1,0,0
274,13502,Alhué,1/4/15,0,0,0,0,0,0,0,0,0,1,1,0,0,0
275,13502,Alhué,1/5/15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
276,13502,Alhué,1/6/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,13502,Alhué,1/7/15,0,0,0,0,0,0,0,0,1,1,0,1,0,0
278,13502,Alhué,1/8/15,0,0,0,0,0,0,0,0,0,1,1,0,0,0
279,13502,Alhué,1/9/15,0,0,1,0,0,1,0,0,0,0,0,0,0,1
280,13502,Alhué,1/10/15,0,0,0,0,0,0,0,0,0,2,2,0,1,0
281,13502,Alhué,1/11/15,0,0,0,0,0,0,0,0,0,1,0,1,0,0
282,13502,Alhué,1/12/15,0,0,0,0,0,0,0,0,0,3,2,1,0,0
283,13502,Alhué,1/1/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,13502,Alhué,1/2/16,0,0,0,0,0,0,0,0,0,2,2,0,0,0
285,13502,Alhué,1/3/16,0,1,0,0,0,0,0,0,0,1,0,1,0,0
286,13502,Alhué,1/4/16,0,0,0,0,0,0,0,0,0,1,1,0,0,0
287,13502,Alhué,1/5/16,0,0,0,0,0,0,0,0,0,2,1,1,0,0
288,13502,Alhué,1/6/16,0,0,0,0,0,0,0,0,0,2,2,0,0,0
289,13502,Alhué,1/7/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,13502,Alhué,1/8/16,0,0,1,0,0,0,1,0,0,1,1,0,0,0
291,13502,Alhué,1/9/16,0,0,1,1,0,0,0,0,0,0,0,0,0,0
292,13502,Alhué,1/10/16,0,0,1,0,0,1,0,0,0,0,0,0,0,0
293,13502,Alhué,1/11/16,0,0,1,0,0,1,0,0,0,1,1,0,0,0
294,13502,Alhué,1/12/16,0,0,0,0,0,0,0,0,0,1,1,0,0,0
295,13502,Alhué,1/1/17,0,0,0,0,0,0,0,0,0,1,1,0,0,0
296,13502,Alhué,1/2/17,0,0,1,0,0,1,0,0,0,0,0,0,0,0
297,13502,Alhué,1/3/17,0,0,0,0,0,0,0,0,0,1,1,0,0,0
298,13502,Alhué,1/4/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,13502,Alhué,1/5/17,0,0,0,0,0,0,0,0,0,1,1,0,0,0
300,13502,Alhué,1/6/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,8314,Alto Biobío,1/1/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,8314,Alto Biobío,1/2/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,8314,Alto Biobío,1/3/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,8314,Alto Biobío,1/4/05,0,0,1,0,0,0,1,0,0,0,0,0,0,0
305,8314,Alto Biobío,1/5/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
