pk,cod_comuna,comuna,fecha,violencia_o_intimidacion,sorpresa,fuerza,vehiculo,acce_vehiculo,lugar_habitado,lugar_no_habitado,otros_robos_fuerza,hurtos,lesiones,lesiones_leves,lesiones_graves,homicidios,violacion
1,5602,Algarrobo,1/1/05,0,0,2,1,0,1,0,0,3,3,2,1,0,0
2,5602,Algarrobo,1/2/05,0,0,1,0,0,0,1,0,7,3,3,0,0,0
3,5602,Algarrobo,1/3/05,0,0,2,0,0,2,0,0,1,2,2,0,0,0
4,5602,Algarrobo,1/4/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5602,Algarrobo,1/5/05,0,0,1,0,0,0,1,0,1,0,0,0,0,0
6,5602,Algarrobo,1/6/05,0,0,0,0,0,0,0,0,2,3,3,0,0,0
7,5602,Algarrobo,1/7/05,2,0,0,0,0,0,0,0,2,2,2,0,0,0
8,5602,Algarrobo,1/8/05,0,0,2,0,0,1,1,0,1,1,1,0,0,0
9,5602,Algarrobo,1/9/05,0,0,0,0,0,0,0,0,0,3,0,3,0,0
10,5602,Algarrobo,1/10/05,0,0,0,0,0,0,0,0,1,1,1,0,0,0
11,5602,Algarrobo,1/11/05,0,0,1,0,0,1,0,0,2,0,0,0,0,0
12,5602,Algarrobo,1/12/05,0,0,1,0,0,1,0,0,0,2,2,0,0,0
13,5602,Algarrobo,1/1/06,2,0,2,0,0,2,0,0,3,1,1,0,0,0
14,5602,Algarrobo,1/2/06,0,0,2,0,0,1,1,0,2,1,0,1,0,0
15,5602,Algarrobo,1/3/06,1,0,1,0,0,1,0,0,0,2,2,0,0,0
16,5602,Algarrobo,1/4/06,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17,5602,Algarrobo,1/5/06,0,0,0,0,0,0,0,0,0,1,1,0,0,0
18,5602,Algarrobo,1/6/06,0,0,2,0,0,2,0,0,1,1,1,0,0,0
19,5602,Algarrobo,1/7/06,0,0,3,0,0,2,1,0,1,2,2,0,0,0
20,5602,Algarrobo,1/8/06,0,0,1,0,0,0,1,0,0,2,2,0,0,0
21,5602,Algarrobo,1/9/06,0,0,2,0,0,2,0,0,0,0,0,0,0,0
22,5602,Algarrobo,1/10/06,0,0,2,0,0,1,1,0,1,2,2,0,0,0
23,5602,Algarrobo,1/11/06,0,0,1,0,0,1,0,0,2,0,0,0,0,0
24,5602,Algarrobo,1/12/06,0,0,2,0,0,2,0,0,0,1,1,0,0,0
25,5602,Algarrobo,1/1/07,0,0,2,0,0,2,0,0,4,0,0,0,0,0
26,5602,Algarrobo,1/2/07,0,0,1,0,0,1,0,0,1,1,1,0,0,0
27,5602,Algarrobo,1/3/07,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,5602,Algarrobo,1/4/07,0,0,1,0,0,1,0,0,2,3,3,0,0,0
29,5602,Algarrobo,1/5/07,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,5602,Algarrobo,1/6/07,0,0,1,0,1,0,0,0,0,0,0,0,0,0
31,5602,Algarrobo,1/7/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5602,Algarrobo,1/8/07,0,0,1,0,0,0,1,0,0,0,0,0,0,0
33,5602,Algarrobo,1/9/07,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34,5602,Algarrobo,1/10/07,0,0,1,0,0,1,0,0,0,0,0,0,0,0
35,5602,Algarrobo,1/11/07,0,0,0,0,0,0,0,0,0,1,1,0,0,0
36,5602,Algarrobo,1/12/07,1,0,6,0,0,4,2,0,0,0,0,0,1,0
37,5602,Algarrobo,1/1/08,0,0,0,0,0,0,0,0,1,5,4,1,0,0
38,5602,Algarrobo,1/2/08,1,1,2,0,0,2,0,0,1,4,3,1,0,0
39,5602,Algarrobo,1/3/08,0,0,0,0,0,0,0,0,1,2,2,0,0,0
40,5602,Algarrobo,1/4/08,0,0,1,0,0,0,1,0,1,0,0,0,0,0
41,5602,Algarrobo,1/5/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,5602,Algarrobo,1/6/08,0,0,3,0,1,1,1,0,0,0,0,0,0,0
43,5602,Algarrobo,1/7/08,1,0,1,0,0,0,1,0,0,4,3,1,0,0
44,5602,Algarrobo,1/8/08,0,1,3,0,0,3,0,0,4,0,0,0,0,0
45,5602,Algarrobo,1/9/08,2,0,2,0,0,1,0,1,1,4,3,1,0,0
46,5602,Algarrobo,1/10/08,1,0,1,0,0,0,1,0,1,2,2,0,0,0
47,5602,Algarrobo,1/11/08,0,0,0,0,0,0,0,0,2,2,2,0,0,1
48,5602,Algarrobo,1/12/08,0,0,0,0,0,0,0,0,0,2,2,0,0,0
49,5602,Algarrobo,1/1/09,2,0,3,1,0,1,1,0,4,6,6,0,0,0
50,5602,Algarrobo,1/2/09,1,1,4,0,0,4,0,0,4,3,2,1,0,0
51,5602,Algarrobo,1/3/09,0,0,0,0,0,0,0,0,1,2,2,0,0,0
52,5602,Algarrobo,1/4/09,1,0,1,0,0,1,0,0,0,1,0,1,0,0
53,5602,Algarrobo,1/5/09,0,0,1,0,0,1,0,0,1,2,1,1,0,0
54,5602,Algarrobo,1/6/09,0,0,3,0,0,3,0,0,0,0,0,0,0,0
55,5602,Algarrobo,1/7/09,0,1,1,0,0,1,0,0,0,1,1,0,0,1
56,5602,Algarrobo,1/8/09,1,0,0,0,0,0,0,0,0,3,3,0,0,0
57,5602,Algarrobo,1/9/09,2,0,1,0,0,1,0,0,1,1,1,0,0,0
58,5602,Algarrobo,1/10/09,0,0,1,0,0,1,0,0,0,0,0,0,0,0
59,5602,Algarrobo,1/11/09,0,0,1,0,0,0,1,0,1,0,0,0,0,0
60,5602,Algarrobo,1/12/09,0,0,1,0,0,1,0,0,1,2,2,0,0,0
61,5602,Algarrobo,1/1/10,2,0,4,0,1,2,0,1,5,6,5,1,0,0
62,5602,Algarrobo,1/2/10,0,1,1,0,1,0,0,0,4,2,2,0,0,0
63,5602,Algarrobo,1/3/10,0,0,1,0,0,1,0,0,0,2,2,0,0,0
64,5602,Algarrobo,1/4/10,0,0,0,0,0,0,0,0,1,1,0,1,0,0
65,5602,Algarrobo,1/5/10,0,0,3,0,0,3,0,0,0,2,2,0,0,0
66,5602,Algarrobo,1/6/10,1,0,3,0,0,2,1,0,1,1,1,0,0,0
67,5602,Algarrobo,1/7/10,0,0,1,0,0,1,0,0,3,1,1,0,0,0
68,5602,Algarrobo,1/8/10,0,0,1,0,0,0,1,0,2,0,0,0,0,0
69,5602,Algarrobo,1/9/10,0,0,2,0,0,2,0,0,1,5,3,2,1,0
70,5602,Algarrobo,1/10/10,0,0,1,1,0,0,0,0,2,1,1,0,0,0
71,5602,Algarrobo,1/11/10,0,0,2,0,1,1,0,0,2,0,0,0,0,0
72,5602,Algarrobo,1/12/10,0,0,4,0,1,3,0,0,0,2,2,0,0,0
73,5602,Algarrobo,1/1/11,2,0,1,0,0,1,0,0,3,7,6,1,0,0
74,5602,Algarrobo,1/2/11,2,0,1,0,0,0,1,0,2,2,2,0,0,0
75,5602,Algarrobo,1/3/11,1,0,1,0,0,1,0,0,1,3,3,0,0,0
76,5602,Algarrobo,1/4/11,0,0,1,0,0,0,1,0,0,0,0,0,0,0
77,5602,Algarrobo,1/5/11,0,0,1,0,0,1,0,0,0,3,3,0,0,0
78,5602,Algarrobo,1/6/11,0,0,1,0,0,0,1,0,3,3,3,0,0,0
79,5602,Algarrobo,1/7/11,0,0,0,0,0,0,0,0,0,3,3,0,0,0
80,5602,Algarrobo,1/8/11,0,0,2,0,0,2,0,0,0,3,2,1,0,0
81,5602,Algarrobo,1/9/11,0,0,0,0,0,0,0,0,1,3,2,1,0,0
82,5602,Algarrobo,1/10/11,1,0,1,0,1,0,0,0,2,1,0,1,0,0
83,5602,Algarrobo,1/11/11,0,0,2,0,0,2,0,0,4,4,2,2,0,0
84,5602,Algarrobo,1/12/11,0,0,0,0,0,0,0,0,0,3,2,1,0,0
85,5602,Algarrobo,1/1/12,2,0,3,1,0,2,0,0,3,4,4,0,0,0
86,5602,Algarrobo,1/2/12,1,2,1,0,0,1,0,0,7,7,3,4,0,0
87,5602,Algarrobo,1/3/12,0,0,2,0,0,1,1,0,2,2,2,0,0,0
88,5602,Algarrobo,1/4/12,1,0,2,1,0,0,1,0,1,0,0,0,0,0
89,5602,Algarrobo,1/5/12,0,0,4,0,0,4,0,0,2,0,0,0,0,0
90,5602,Algarrobo,1/6/12,0,0,3,0,0,2,1,0,0,2,0,2,0,0
91,5602,Algarrobo,1/7/12,0,0,4,0,0,3,1,0,5,3,2,1,0,0
92,5602,Algarrobo,1/8/12,0,0,0,0,0,0,0,0,1,3,1,2,0,0
93,5602,Algarrobo,1/9/12,2,0,3,0,0,2,1,0,4,5,5,0,0,0
94,5602,Algarrobo,1/10/12,0,0,5,0,1,4,0,0,5,1,1,0,0,0
95,5602,Algarrobo,1/11/12,1,0,0,0,0,0,0,0,4,3,3,0,0,0
96,5602,Algarrobo,1/12/12,0,0,2,0,0,2,0,0,2,1,1,0,0,0
97,5602,Algarrobo,1/1/13,1,0,2,1,0,1,0,0,8,5,4,1,0,0
98,5602,Algarrobo,1/2/13,0,1,4,0,1,1,2,0,5,4,4,0,0,0
99,5602,Algarrobo,1/3/13,0,0,5,0,1,4,0,0,11,2,2,0,0,0
100,5602,Algarrobo,1/4/13,0,0,0,0,0,0,0,0,5,2,2,0,0,0
101,5602,Algarrobo,1/5/13,0,0,3,0,0,3,0,0,1,2,2,0,0,0
102,5602,Algarrobo,1/6/13,0,0,2,0,0,2,0,0,1,4,3,1,0,0
103,5602,Algarrobo,1/7/13,1,1,3,0,0,3,0,0,3,3,3,0,0,0
104,5602,Algarrobo,1/8/13,0,1,5,0,0,3,2,0,3,3,2,1,0,0
105,5602,Algarrobo,1/9/13,1,0,3,0,1,2,0,0,3,4,2,2,0,0
106,5602,Algarrobo,1/10/13,0,1,1,0,0,1,0,0,2,5,3,2,0,0
107,5602,Algarrobo,1/11/13,0,0,1,0,0,1,0,0,1,1,1,0,0,0
108,5602,Algarrobo,1/12/13,2,0,1,0,0,1,0,0,4,1,1,0,0,0
109,5602,Algarrobo,1/1/14,2,0,1,0,0,0,0,1,11,4,4,0,0,0
110,5602,Algarrobo,1/2/14,0,0,0,0,0,0,0,0,8,6,5,1,0,0
111,5602,Algarrobo,1/3/14,0,0,2,0,0,1,1,0,4,4,4,0,0,0
112,5602,Algarrobo,1/4/14,0,0,1,0,0,1,0,0,4,2,2,0,0,0
113,5602,Algarrobo,1/5/14,0,0,1,0,0,1,0,0,5,0,0,0,0,0
114,5602,Algarrobo,1/6/14,0,0,1,0,0,1,0,0,7,1,0,1,0,0
115,5602,Algarrobo,1/7/14,0,0,5,0,0,5,0,0,8,1,1,0,0,0
116,5602,Algarrobo,1/8/14,0,0,0,0,0,0,0,0,12,0,0,0,0,0
117,5602,Algarrobo,1/9/14,3,0,2,0,0,1,0,1,9,4,3,1,0,0
118,5602,Algarrobo,1/10/14,0,0,5,0,0,4,1,0,5,3,3,0,0,0
119,5602,Algarrobo,1/11/14,0,0,4,0,0,1,3,0,7,2,1,1,0,1
120,5602,Algarrobo,1/12/14,1,0,5,0,0,3,2,0,3,1,1,0,0,0
121,5602,Algarrobo,1/1/15,1,0,3,0,2,1,0,0,8,6,5,1,0,0
122,5602,Algarrobo,1/2/15,1,0,4,0,3,0,1,0,12,5,4,1,0,0
123,5602,Algarrobo,1/3/15,1,0,3,0,0,2,1,0,7,5,4,1,0,0
124,5602,Algarrobo,1/4/15,0,0,2,0,0,2,0,0,6,1,0,1,0,0
125,5602,Algarrobo,1/5/15,0,0,2,0,0,2,0,0,4,3,3,0,0,0
126,5602,Algarrobo,1/6/15,0,0,1,0,0,0,1,0,7,1,1,0,0,0
127,5602,Algarrobo,1/7/15,0,0,2,0,0,1,1,0,3,0,0,0,0,0
128,5602,Algarrobo,1/8/15,0,0,0,0,0,0,0,0,9,2,0,2,0,0
129,5602,Algarrobo,1/9/15,0,1,2,0,0,0,2,0,6,2,2,0,0,0
130,5602,Algarrobo,1/10/15,1,0,1,0,0,1,0,0,7,2,1,1,0,0
131,5602,Algarrobo,1/11/15,0,0,2,0,0,1,1,0,11,2,1,1,0,0
132,5602,Algarrobo,1/12/15,0,0,5,0,1,4,0,0,10,0,0,0,0,0
133,5602,Algarrobo,1/1/16,0,0,0,0,0,0,0,0,14,6,5,1,0,0
134,5602,Algarrobo,1/2/16,0,0,5,0,1,2,2,0,12,4,3,1,0,0
135,5602,Algarrobo,1/3/16,0,0,5,0,0,3,2,0,11,2,2,0,0,0
136,5602,Algarrobo,1/4/16,0,0,3,0,0,3,0,0,3,0,0,0,0,0
137,5602,Algarrobo,1/5/16,1,0,1,0,0,1,0,0,4,3,2,1,0,0
138,5602,Algarrobo,1/6/16,1,0,3,0,0,2,1,0,8,2,2,0,0,0
139,5602,Algarrobo,1/7/16,0,0,4,0,0,4,0,0,2,1,1,0,0,0
140,5602,Algarrobo,1/8/16,0,0,3,0,0,2,1,0,2,1,1,0,0,0
141,5602,Algarrobo,1/9/16,0,0,3,0,0,2,1,0,4,3,1,2,0,0
142,5602,Algarrobo,1/10/16,1,0,2,0,0,1,1,0,8,1,0,1,0,0
